house_direction,property_legal_document,Đường,Tỉnh,Phường,price_per_m2,area,bedroom,toilet
Đông Nam,Sổ hồng riêng,Đại Mỗ,Hà Nội, Phường Tây Mỗ,53.49,43.0,1,1
Đông Nam,Hợp đồng mua bán,70,Hà Nội, Xã Tả Thanh Oai,29.63,40.0,1,1
Đông Bắc,Sổ hồng riêng, Điện Biên Phủ,Hồ Chí Minh, Phường 17,44.545,110.0,3,2
Tây Bắc,Sổ hồng riêng, 7,Hồ Chí Minh, Xã Phong Phú,19.25,127.3,3,2
Đông Nam,Sổ hồng riêng,Đại Mỗ,Hà Nội, Phường Tây Mỗ,53.49,43.0,1,1
Đông Nam,Hợp đồng mua bán,70,Hà Nội, Xã Tả Thanh Oai,29.63,40.0,1,1
Đông Bắc,Sổ hồng riêng, Điện Biên Phủ,Hồ Chí Minh, Phường 17,44.545,110.0,3,2
Tây Bắc,Sổ hồng riêng, 7,Hồ Chí Minh, Xã Phong Phú,19.25,127.3,3,2
Nam,Sổ hồng riêng,Văn Khê,Hà Nội, Phường Phúc La,50.909,55.0,2,2
Đông Bắc,Sổ hồng riêng,Phố Nguyễn Chánh,Hà Nội, Phường Yên Hoà,51.33,75.0,2,2
Đông Nam,Hợp đồng mua bán,Phố Chính Kinh,Hà Nội, Phường Nhân Chính,19.0,50.0,2,1
Tây Nam,Sổ hồng riêng,Quốc Lộ 6,Hà Nội, Phường Yên Nghĩa,32.64,121.0,4,3
Bắc,Sổ hồng riêng,Đường vành đai 3 TP.HCM,Hồ Chí Minh, Phường Long Trường (Quận 9 cũ),41.8,95.6999,3,0
Đông Bắc,Sổ hồng riêng,Nguyễn Xiển,Hồ Chí Minh, Phường Long Thạnh Mỹ (Quận 9 cũ),42.67,30.0,1,1
Tây,Sổ hồng riêng,Lương Định Của,Hồ Chí Minh, Phường An Khánh (Quận 2 cũ),52.5,80.0,2,2
Bắc,Hợp đồng mua bán,Đường Bến Bình Đông,Hồ Chí Minh, Phường 14,51.14,70.0,2,2
Đông Nam,Sổ hồng riêng, Nguyễn Duy Dương,Hồ Chí Minh, Phường 8,35.42,24.0,1,1
Tây Nam,Hợp đồng mua bán, Đường D2,Hồ Chí Minh, Phường Sơn Kỳ,61.37,88.8,2,2
Đông Bắc,Sổ hồng riêng, Đường số 6,Hồ Chí Minh, Phường Bình Chiểu (Quận Thủ Đức cũ),30.0,70.0,2,2
Đông Bắc,Sổ hồng riêng,Phạm Hùng,Hà Nội, Phường Mễ Trì,85.27,129.0,4,3
Tây,Sổ hồng riêng,Vũ Huy Tấn,Hồ Chí Minh, Phường 3,53.85,52.0,1,2
Tây Bắc,Hợp đồng mua bán, N1,Hồ Chí Minh, Phường Sơn Kỳ,53.93,98.0,2,2
Tây,Đang chờ sổ,Đường 15B,Hồ Chí Minh, Phường Phú Mỹ,33.75,48.0,1,1
Đông,Sổ hồng riêng, Bà Hom,Hồ Chí Minh, Phường 13,29.33,75.0,2,2
Tây Nam,Sổ hồng riêng,Đường Đại lộ Thăng Long,Hà Nội, Phường Tây Mỗ,49.3,64.5,2,2
Tây,Sổ hồng riêng, Đường Tân Chánh Hiệp 25,Hồ Chí Minh, Phường Tân Chánh Hiệp,75.56,90.0,4,4
Tây Bắc,Sổ hồng riêng,Đại Lộ thăng long,Hà Nội, Phường Tây Mỗ,50.0,64.0,2,2
Tây Nam,Sổ hồng riêng, Đường 20,Hồ Chí Minh, Phường 5,38.78,49.0,2,1
Tây Bắc,Sổ hồng riêng, Đường Số 32,Hồ Chí Minh, Phường Bình Trị Đông B,19.61,51.0,1,1
Đông Nam,Sổ hồng riêng,Đại Mỗ,Hà Nội, Phường Tây Mỗ,54.65,43.0,1,1
Đông,Sổ hồng riêng,Tân Phong,Hồ Chí Minh, Phường Tân Phong,46.48,71.0,3,2
Nam,Sổ hồng riêng, Đường Vũ Huy Tấn,Hồ Chí Minh, Phường 3,42.41,54.0,2,1
Tây Bắc,Sổ hồng riêng,Tố Hữu,Hà Nội, Phường Đại Mỗ,47.44,78.0,2,2
Nam,Sổ hồng riêng, Minh Khai,Hà Nội, Phường Vĩnh Tuy,69.39,98.0,3,2
Đông Nam,Hợp đồng mua bán, Đường Đại lộ vòng cung,Hồ Chí Minh, Phường Thủ Thiêm (Quận 2 cũ),213.64,110.0,3,3
Đông Bắc,Sổ hồng riêng, Nguyễn Tất Thành,Hồ Chí Minh, Phường 18,45.63,80.0,2,2
Tây,Sổ hồng riêng, hau giang p11 q 6,Hồ Chí Minh, Phường 11,36.05,86.0,2,2
Bắc,Sổ hồng riêng,Đường Lê Thị Riêng,Hồ Chí Minh, Phường Thới An,32.97,91.0,2,2
Đông Nam,Đang chờ sổ,Nguyễn Xiển,Hồ Chí Minh, Phường Long Thạnh Mỹ (Quận 9 cũ),39.71,68.0,2,2
Đông Nam,Hợp đồng mua bán,Nguyễn Xiển,Hồ Chí Minh, Phường Long Thạnh Mỹ (Quận 9 cũ),40.0,59.0,2,2
Tây Nam,Sổ hồng riêng, TP. Hồ Chí Minh,Hồ Chí Minh, Xã Phú Xuân,25.0,72.0,2,2
Tây Bắc,Đang chờ sổ, Phố Phúc La,Hà Nội, Phường Kiến Hưng,27.26,84.0,2,0
Tây Bắc,Sổ hồng riêng,Đường Trần Trọng Cung,Hồ Chí Minh, Phường Tân Thuận Đông,37.8,82.0,3,2
Đông Bắc,Sổ hồng riêng,Lê Trọng Tấn,Hà Nội, Xã An Khánh,36.42,81.0,2,2
Bắc,Sổ hồng riêng,Nguyễn Văn Linh,Hồ Chí Minh, Xã Bình Hưng,60.54,112.0,3,0
Đông Bắc,Hợp đồng mua bán,Linh Đường,Hà Nội, Phường Hoàng Liệt,35.57,70.0,2,2
Đông Bắc,Sổ hồng riêng,Lê Trọng Tấn,Hà Nội, Xã An Khánh,36.42,81.0,2,2
Bắc,Sổ hồng riêng,Nguyễn Văn Linh,Hồ Chí Minh, Xã Bình Hưng,60.54,112.0,3,0
Đông Bắc,Hợp đồng mua bán,Linh Đường,Hà Nội, Phường Hoàng Liệt,35.57,70.0,2,2
Đông Bắc,Sổ hồng riêng,Lê Trọng Tấn,Hà Nội, Xã An Khánh,36.42,81.0,2,2
Bắc,Sổ hồng riêng,Nguyễn Văn Linh,Hồ Chí Minh, Xã Bình Hưng,60.54,112.0,3,0
Đông Bắc,Hợp đồng mua bán,Linh Đường,Hà Nội, Phường Hoàng Liệt,35.57,70.0,2,2
Đông Nam,Sổ hồng riêng,Trần Thái Tông,Hà Nội, Phường Dịch Vọng,56.48,108.0,3,2
Tây Bắc,Hợp đồng mua bán, Hồ Văn Long,Hồ Chí Minh, Phường Tân Tạo,16.53,37.5,1,1
Đông,Sổ hồng riêng,Nguyễn Văn Linh,Hồ Chí Minh, Xã Phong Phú,15.84,221.0,3,3
Tây Bắc,Sổ hồng riêng, Phạm Thế Hiển,Hồ Chí Minh, Phường 6,40.28,144.0,3,3
Đông Nam,Sổ hồng riêng,Nguyễn Xiển,Hồ Chí Minh, Phường Long Thạnh Mỹ (Quận 9 cũ),37.31,67.0,2,2
Đông Nam,Sổ hồng riêng,Đường Trần Khát Chân,Hà Nội, Phường Bách Khoa,12.73,55.0,2,2
Đông Nam,Sổ hồng riêng,Đường Định Công,Hà Nội, Phường Định Công,11.12,58.0,2,2
Đông Nam,Sổ hồng riêng,chùa bộc,Hà Nội, Phường Quang Trung,12.5,56.0,2,2
Đông Nam,Sổ hồng riêng,Đường An Dương Vương,Hà Nội, Phường Phú Thượng,12.73,55.0,2,1
Tây Nam,Sổ hồng riêng,Đường Nguyễn Xiển,Hồ Chí Minh, Phường Long Thạnh Mỹ (Quận 9 cũ),38.13,69.5,2,2
Đông Nam,Hợp đồng mua bán, Mai Chí Thọ,Hồ Chí Minh, Phường Thủ Thiêm (Quận 2 cũ),500.0,300.0,5,5
Bắc,Đang chờ sổ,Võ Văn Kiệt,Hồ Chí Minh, Phường An Lạc,44.0,75.0,2,2
Đông Nam,Hợp đồng mua bán,Hồng Bàng,Hồ Chí Minh, Phường 6,66.04,53.0,2,2
Tây Nam,Sổ hồng riêng,Đường số 6,Hồ Chí Minh, Phường Bình Chiểu (Quận Thủ Đức cũ),33.33,60.0,2,0
Tây Bắc,Sổ hồng riêng, Đường 32,Hồ Chí Minh, Phường Bình Trị Đông B,19.1,51.0,1,1
Tây,Sổ hồng riêng,Đường Võ Chí Công,Hồ Chí Minh, Phường Phú Hữu (Quận 9 cũ),46.15,45.5,1,1
Tây Bắc,Sổ hồng riêng,Lê Trọng Tấn,Hà Nội, Phường Dương Nội,49.12,85.5,3,2
Đông Nam,Hợp đồng mua bán,Nguyễn Xiển,Hồ Chí Minh, Phường Long Thạnh Mỹ (Quận 9 cũ),39.82,67.8,2,2
Đông Nam,Sổ hồng riêng,Quang Trung,Hà Nội, Phường Quang Trung,53.27,90.0999,3,2
Đông Bắc,Sổ hồng riêng,Tạ Quang Bửu,Hồ Chí Minh, Phường 6,33.17,60.0,2,1
Đông Bắc,Sổ hồng riêng,Đại Mỗ,Hà Nội, Phường Tây Mỗ,56.98,43.0,1,1
Tây Nam,Sổ hồng riêng, Nguyễn Hữu Thọ,Hồ Chí Minh, Xã Phước Kiển,41.04,67.0,2,2
Đông Nam,Sổ hồng riêng, 8,Hồ Chí Minh, Phường 8,55.7,79.0,2,2
Tây Bắc,Hợp đồng mua bán,Cây Keo,Hồ Chí Minh, Phường Tam Phú (Quận Thủ Đức cũ),28.0,60.0,2,2
Nam,Hợp đồng mua bán, THANH XUAN 13,Hồ Chí Minh, Phường Thạnh Xuân,44.83,58.0,2,1
Đông Nam,Hợp đồng mua bán,Nguyễn Lương Bằng,Hồ Chí Minh, Phường Tân Phú,100.0,111.0,3,2
Tây Nam,Hợp đồng mua bán,Phạm Văn Đồng,Hồ Chí Minh, Phường Hiệp Bình Chánh (Quận Thủ Đức cũ),50.0,70.0,2,2
Tây Nam,Sổ hồng riêng,Nguyễn Thị Búp,Hồ Chí Minh, Phường Hiệp Thành,33.97,57.4,2,2
Nam,Hợp đồng mua bán, TP. Hồ Chí Minh,Hồ Chí Minh, Phường An Lạc,51.25,80.0,2,2
Bắc,Đang chờ sổ,Võ Văn Kiệt,Hồ Chí Minh, Phường 16,32.05,73.0,2,2
Tây Nam,Sổ hồng riêng, Nguyễn Lương Bằng,Hồ Chí Minh, Xã Phú Xuân,24.03,77.0,2,2
Đông Bắc,Sổ hồng riêng,15B,Hồ Chí Minh, Phường Phú Mỹ,27.47,91.0,3,2
Tây Nam,Sổ hồng riêng,Trịnh Quang Nghị,Hồ Chí Minh, Xã Phong Phú,28.66,82.0,3,2
Tây Nam,Sổ hồng riêng,DC13,Hồ Chí Minh, Phường Sơn Kỳ,34.33,67.0,2,2
Đông,Đang chờ sổ,Nguyễn Văn Linh,Hồ Chí Minh, Xã An Phú Tây,25.0,54.0,2,2
Tây,Đang chờ sổ,Ngõ 6 Vĩnh Phúc,Hà Nội, Phường Vĩnh Phúc,12.0,50.0,2,1
Tây Nam,Sổ hồng riêng, Giang Biên,Hà Nội, Phường Giang Biên,44.44,72.0,2,2
Bắc,Hợp đồng mua bán,Võ Văn Kiệt,Hồ Chí Minh, Phường 16,34.31,72.0,2,2
Đông,Sổ hồng riêng,Đại Mỗ,Hà Nội, Phường Tây Mỗ,50.0,45.0,2,1
Tây Bắc,Sổ hồng riêng, Đường Đại lộ Thăng Long,Hà Nội, Phường Đại Mỗ,58.33,30.0,1,1
Đông Nam,Đang chờ sổ, Nguyễn Thị Sóc,Hồ Chí Minh, Xã Xuân Thới Đông,23.85,65.0,2,2
Nam,Hợp đồng mua bán,Trường Lưu,Hồ Chí Minh, Phường Long Trường (Quận 9 cũ),47.62,63.0,2,1
Đông Nam,Sổ hồng riêng,Yên Viên,Hà Nội, Thị trấn Trâu Quỳ,43.95,43.0,1,1
Đông Nam,Sổ hồng riêng, Đường Mễ Trì,Hà Nội, Phường Mễ Trì,51.23,65.0,2,1
Nam,Hợp đồng mua bán, TP. Hồ Chí Minh,Hồ Chí Minh, Phường 7,36.84,57.0,2,2
Đông Bắc,Hợp đồng mua bán, Hồ Chí Minh,Hồ Chí Minh, Phường 22,86.88,62.5,2,1
Đông Nam,Sổ hồng riêng,Đại lộ Thăng Long,Hà Nội, Phường Đại Mỗ,60.81,74.0,3,2
Đông Nam,Hợp đồng mua bán,Trịnh Quang Nghị,Hồ Chí Minh, Phường 7,27.59,79.0,3,2
Tây,Sổ hồng riêng,Tạ Quang Bửu,Hồ Chí Minh, Phường 6,34.94,128.8,3,0
Đông Nam,Sổ hồng riêng, Minh Khai,Hà Nội, Phường Vĩnh Tuy,55.37,108.0,3,2
Đông Nam,Hợp đồng mua bán, Mai Chí Thọ,Hồ Chí Minh, Phường Thủ Thiêm (Quận 2 cũ),161.54,78.0,2,2
Tây Bắc,Sổ hồng riêng,Đường Dương Đình Hội,Hồ Chí Minh, Phường Phước Long B (Quận 9 cũ),30.0,60.0,2,1
Tây,Sổ hồng riêng, Đường Số 3 A,Hồ Chí Minh, Phường Tân Tạo A,25.78,64.0,2,1
Tây Nam,Sổ hồng riêng,Đường Phan Xích Long,Hồ Chí Minh, Phường 7,57.58,33.0,1,1
Nam,Sổ hồng riêng,Bế Văn Đàn ,Hồ Chí Minh, Phường 14,68.75,72.0,2,2
Tây Nam,Đang chờ sổ,Tân Túc,Hồ Chí Minh, Thị trấn Tân Túc,33.47,59.0,2,2
Bắc,Sổ hồng riêng, Khu đô thị Cityland Park Hills - Số 18 Đường Phan Văn Trị,Hồ Chí Minh, Phường 10,55.98,92.0,3,2
Tây Bắc,Sổ hồng riêng,Đường Lạc Long Quân,Hồ Chí Minh, Phường 5,36.92,65.0,2,2
Đông,Sổ hồng riêng, Hồ Chí Minh,Hồ Chí Minh, Phường Phú Mỹ,33.33,63.0,2,1
Bắc,Sổ hồng riêng, Phố Đội Nhân,Hà Nội, Phường Vĩnh Phúc,61.63,86.0,2,2
Tây Nam,Hợp đồng mua bán, Nguyễn Văn Linh,Hồ Chí Minh, Xã Phong Phú,25.5,50.0,2,2
Đông,Sổ hồng riêng, Khu Phố 2,Hồ Chí Minh, Phường Tân Thới Hiệp,89.19,185.0,,6
Tây Nam,Sổ hồng riêng,Lê Trọng Tấn,Hà Nội, Phường Quang Trung,50.86,58.0,2,2
Tây,Sổ hồng riêng,Đường Đỗ Xuân Hợp,Hồ Chí Minh, Phường Phước Long B (Quận 9 cũ),34.55,52.0998,1,1
Đông Nam,Sổ hồng riêng,Nguyễn Duy Trinh,Hồ Chí Minh, Phường Bình Trưng Tây (Quận 2 cũ),37.1,91.0999,2,0
Tây,Đang chờ sổ, 208 Đường Nguyễn Hữu Cảnh,Hồ Chí Minh, Phường 22,66.25,80.0,2,2
Tây Bắc,Sổ hồng riêng,Phùng Hưng,Hà Nội, Phường Phúc La,35.63,56.0,2,2
Đông Bắc,Hợp đồng mua bán,Tân Túc,Hồ Chí Minh, Thị trấn Tân Túc,37.29,85.0,3,2
Nam,Sổ hồng riêng, Phan Văn Trị,Hồ Chí Minh, Phường 10,50.1,103.8,3,2
Đông Nam,Sổ hồng riêng, Khương Trung,Hà Nội, Phường Khương Trung,47.78,90.0,3,2
Nam,Hợp đồng mua bán,Thạnh Xuân 13,Hồ Chí Minh, Phường Thạnh Xuân,39.66,58.0,2,1
Bắc,Sổ hồng riêng,An Lạc,Hồ Chí Minh, Phường An Lạc A,43.38,61.09,2,0
Tây Bắc,Đang chờ sổ,Đường số 6,Hồ Chí Minh, Phường Bình Chiểu (Quận Thủ Đức cũ),28.46,61.4799,2,2
Đông Nam,Sổ hồng riêng, Nguyễn Văn Linh,Hồ Chí Minh, Xã An Phú Tây,20.97,62.0,2,2
Đông Nam,Sổ hồng riêng, Nguyễn Văn Linh,Hồ Chí Minh, Xã An Phú Tây,20.97,62.0,2,2
Tây,Sổ hồng riêng, An Dương Vương,Hồ Chí Minh, Phường An Lạc,25.97,72.0,2,2
Đông Nam,Sổ hồng riêng,Nguyễn Xiển,Hồ Chí Minh, Phường Long Thạnh Mỹ (Quận 9 cũ),34.75,59.0,2,1
Tây Bắc,Hợp đồng mua bán,Nam Hòa,Hồ Chí Minh, Phường Phước Long A (Quận 9 cũ),25.2,50.0,2,1
Tây,Sổ hồng riêng,Võ Công Tồn,Hồ Chí Minh, Phường Tân Quý,26.67,75.0,2,1
Đông Bắc,Sổ hồng riêng,Đường Lê Văn Lương,Hà Nội, Phường Nhân Chính,55.14,214.0,4,0
Tây Nam,Hợp đồng mua bán,Trịnh Quang Nghị,Hồ Chí Minh, Phường 7,30.35,57.0,2,2
Tây Nam,Sổ hồng riêng,Nguyễn Xiển,Hồ Chí Minh, Phường Long Thạnh Mỹ (Quận 9 cũ),38.41,69.0,2,2
Đông,Hợp đồng mua bán, Trương Đăng Quế,Hồ Chí Minh, Phường 3,49.5,100.0,3,2
Nam,Sổ hồng riêng,Đông Hưng Thuận,Hồ Chí Minh, Phường Đông Hưng Thuận,31.51,73.0,2,1
Tây Nam,Sổ hồng riêng, 33 Đường Phan Huy Ích,Hồ Chí Minh, Phường 15,29.52,105.0,3,2
Tây,Sổ hồng riêng,Đường 14,Hồ Chí Minh, Phường Tân Thuận Đông,35.06,77.0,2,0
Đông Nam,Sổ hồng riêng,69 Đường Số 32,Hồ Chí Minh, Phường Bình Trị Đông B,19.61,51.0,2,1
Tây,Sổ hồng riêng,Đường CC5,Hồ Chí Minh, Phường Sơn Kỳ,59.3,86.0,2,2
Nam,Hợp đồng mua bán, Liên Phường,Hồ Chí Minh, Phường Phước Long B (Quận 9 cũ),36.25,64.0,2,2
Đông,Hợp đồng mua bán,Nguyễn Văn Linh,Hồ Chí Minh, Phường Tân Phong,73.08,78.0,2,2
Tây Bắc,Hợp đồng mua bán,Nguyễn Xiển,Hồ Chí Minh, Phường Long Bình (Quận 9 cũ),61.93,46.0,1,1
Đông Nam,Đang chờ sổ, Trung Mỹ Tây 2A,Hồ Chí Minh, Phường Trung Mỹ Tây,24.24,66.0,2,2
Tây Nam,Sổ hồng riêng, Nguyễn Bỉnh Khiêm,Hồ Chí Minh, Phường 1,61.59,69.0,2,2
Tây Nam,Sổ hồng riêng,Nam Trung Yên,Hà Nội, Phường Trung Hoà,52.586,58.0,2,2
Tây Bắc,Sổ hồng riêng,Chu Văn An,Hồ Chí Minh, Phường 12,43.27,104.0,2,0
Nam,Sổ hồng riêng,Nguyễn Hữu Thọ,Hồ Chí Minh, Xã Phước Kiển,63.33,60.0,2,2
Tây Bắc,Hợp đồng mua bán,Nguyễn Xiển,Hồ Chí Minh, Phường Long Thạnh Mỹ (Quận 9 cũ),50.39,66.5,2,2
Tây,Đang chờ sổ,Nguyên Xá,Hồ Chí Minh, Phường 14,22.44,78.0,2,2
Đông,Hợp đồng mua bán,Đại Mỗ,Hà Nội, Phường Tây Mỗ,54.88,82.0,3,2
Tây Bắc,Hợp đồng mua bán,Nguyễn Xiển,Hồ Chí Minh, Phường Long Thạnh Mỹ (Quận 9 cũ),50.39,66.5,2,2
Tây,Đang chờ sổ,Nguyên Xá,Hồ Chí Minh, Phường 14,22.44,78.0,2,2
Đông,Hợp đồng mua bán,Đại Mỗ,Hà Nội, Phường Tây Mỗ,54.88,82.0,3,2
Đông,Hợp đồng mua bán, Số 4 Đường Đào Trí,Hồ Chí Minh, Phường Phú Thuận,40.99,53.6698,1,1
Nam,Hợp đồng mua bán, Số 4 Đường Đào Trí,Hồ Chí Minh, Phường Phú Thuận,41.28,86.0,3,2
Tây Nam,Sổ hồng riêng,Thép Mới,Hà Nội, Phường Việt Hưng,32.22,90.0,3,2
Tây,Sổ hồng riêng,Đường Tạ Quang Bửu,Hồ Chí Minh, Phường 5,29.93,147.0,3,2
Tây Nam,Sổ hồng riêng,Đường Huy Cận,Hồ Chí Minh, Phường Phước Long B (Quận 9 cũ),37.12,66.0,2,2
Bắc,Hợp đồng mua bán, 3,Hồ Chí Minh, Phường Trường Thọ (Quận Thủ Đức cũ),39.01,71.0,2,2
Đông Bắc,Sổ hồng riêng, Hà Nội,Hà Nội, Phường Phúc Đồng,35.0,70.0,2,2
Tây Bắc,Sổ hồng riêng,Sài Đồng,Hà Nội, Phường Sài Đồng,30.29,105.0,2,2
Đông,Sổ hồng riêng, Đại Từ,Hà Nội, Phường Đại Kim,54.46,101.0,3,2
Tây,Sổ hồng riêng,Tạ Quang Bửu,Hồ Chí Minh, Phường 6,28.81,59.0,2,1
Đông,Hợp đồng mua bán, Số 4 Đường Đào Trí,Hồ Chí Minh, Phường Phú Thuận,41.92,53.6697,1,1
Bắc,Hợp đồng mua bán, Số 4 Đường Đào Trí,Hồ Chí Minh, Phường Phú Thuận,40.58,69.0,2,2
Tây,Sổ hồng riêng,Đường Trần Trọng Cung,Hồ Chí Minh, Phường Tân Thuận Đông,44.29,70.0,2,1
Tây,Hợp đồng mua bán, Tôn Thất Thuyết,Hồ Chí Minh, Phường 18,80.56,72.0,2,2
Đông,Hợp đồng mua bán, Số 4 Đường Đào Trí,Hồ Chí Minh, Phường Phú Thuận,42.3,73.0,2,2
Nam,Đang chờ sổ,Tôn Đức Thắng,Hồ Chí Minh, Phường Bến Nghé,130.93,74.0,2,2
Tây Bắc,Sổ hồng riêng,Nguyễn Xiển,Hồ Chí Minh, Phường Long Thạnh Mỹ (Quận 9 cũ),42.37,59.0,2,2
Nam,Sổ hồng riêng, Tô Ký,Hồ Chí Minh, Phường Trung Mỹ Tây,39.29,56.0,2,2
Bắc,Sổ hồng riêng, Lê Đức Thọ,Hà Nội, Phường Mỹ Đình 1,5.21,48.0,3,3
Đông Nam,Đang chờ sổ,Long Thạnh Mỹ,Hồ Chí Minh, Phường Long Bình (Quận 9 cũ),50.0,98.0,2,2
Đông Nam,Sổ hồng riêng, TP HCM.,Hồ Chí Minh, Phường Long Thạnh Mỹ (Quận 9 cũ),41.86,43.0,1,1
Đông,Sổ hồng riêng, Đại lộ Thăng Long,Hà Nội, Xã An Khánh,41.13,62.0,2,2
Nam,Hợp đồng mua bán,15B,Hồ Chí Minh, Phường Phú Mỹ,23.33,75.0,2,2
Đông Nam,Sổ hồng riêng,Đại Mỗ,Hà Nội, Phường Tây Mỗ,55.35,43.0,1,1
Tây Nam,Sổ hồng riêng, Tống Văn Trân,Hồ Chí Minh, Phường 5,48.75,40.0,2,0
Đông,Đang chờ sổ, 336/20 Nguyễn Văn Luông,Hồ Chí Minh, Phường 11,53.85,65.0,2,2
Đông,Hợp đồng mua bán,Nguyễn Văn Linh,Hồ Chí Minh, Phường Tân Phong,72.27,78.87,2,2
Đông,Sổ hồng riêng, Dường TA,Hồ Chí Minh, Phường Thới An,28.25,63.0,2,2
Tây Nam,Hợp đồng mua bán, N1,Hồ Chí Minh, Phường Sơn Kỳ,47.62,84.0,2,2
Tây Bắc,Sổ hồng riêng, 33 Đường Phan Huy Ích,Hồ Chí Minh, Phường 15,32.34,77.0,2,2
Đông Bắc,Sổ hồng riêng,Đường Kiêu Kỵ,Hà Nội, Xã Kiêu Kỵ,55.38,65.0,2,2
Nam,Sổ hồng riêng, khu phố 3,Hồ Chí Minh, Phường An Lạc,23.08,57.2,2,2
Đông Nam,Hợp đồng mua bán, N1,Hồ Chí Minh, Phường Sơn Kỳ,52.11,71.0,2,2
Tây Nam,Hợp đồng mua bán, N1,Hồ Chí Minh, Phường Sơn Kỳ,49.3,71.0,2,2
Tây Bắc,Sổ hồng riêng,Đường Xa lộ Đại Hàn,Hồ Chí Minh, Phường Tam Bình (Quận Thủ Đức cũ),28.38,37.0,1,1
Đông Nam,Sổ hồng riêng, DC13 - CN13 - DC8,Hồ Chí Minh, Phường Sơn Kỳ,35.92,71.0,2,2
Đông Nam,Sổ hồng riêng, Thành Thái,Hồ Chí Minh, Phường 14,55.41,74.0,2,2
Đông Nam,Hợp đồng mua bán, N1,Hồ Chí Minh, Phường Sơn Kỳ,56.7,88.0,2,2
Tây,Sổ hồng riêng,Đường Võ Chí Công,Hà Nội, Phường Phú Thượng,12.5,48.0,2,1
Tây,Sổ hồng riêng,xuân đỉnh,Hà Nội, Phường Xuân Đỉnh,12.0,50.0,2,1
Tây,Hợp đồng mua bán,Phố Minh Khai,Hà Nội, Phường Vĩnh Tuy,13.04,46.0,2,1
Tây,Sổ hồng riêng,Đường Giải Phóng,Hà Nội, Phường Đồng Tâm,10.91,55.0,2,1
Đông Nam,Sổ hồng riêng, Đường Nguyễn Văn Linh,Hồ Chí Minh, Xã An Phú Tây,22.77,50.5,2,2
Đông Nam,Sổ hồng riêng, Hồ Chí Minh,Hồ Chí Minh, Phường Hiệp Bình Phước (Quận Thủ Đức cũ),30.7,57.0,2,1
Tây,Sổ hồng riêng,Võ Văn Kiệt,Hồ Chí Minh, Phường An Lạc,42.67,75.0,2,2
Tây Bắc,Sổ hồng riêng, Phố Nguyên Hồng,Hà Nội, Phường Láng Hạ,114.04,57.0,2,2
Đông Nam,Sổ hồng riêng,Đại Mỗ,Hà Nội, Phường Tây Mỗ,54.65,43.0,1,1
Tây Bắc,Sổ hồng riêng,Đường Bưởi,Hà Nội, Phường Vĩnh Phúc,61.11,90.0,2,2
Tây Bắc,Đang chờ sổ, Đường Tôn Ðức Thắng,Hồ Chí Minh, Phường Bến Nghé,465.84,135.0,3,3
Đông Bắc,Sổ hồng riêng, Phan Văn Tri,Hồ Chí Minh, Phường 11,57.84,51.0,2,1
Đông Nam,Sổ hồng riêng, Đường Phan Trọng Tuệ,Hà Nội, Xã Tả Thanh Oai,32.56,47.2999,2,1
Tây Bắc,Hợp đồng mua bán, N1,Hồ Chí Minh, Phường Sơn Kỳ,55.92,85.0,2,2
Đông Nam,Hợp đồng mua bán, N1,Hồ Chí Minh, Phường Sơn Kỳ,52.95,88.0,2,2
Tây Bắc,Sổ hồng riêng,Nguyễn Xiển,Hồ Chí Minh, Phường Long Thạnh Mỹ (Quận 9 cũ),37.63,59.0,2,1
Tây Nam,Sổ hồng riêng,Nguyễn Xiển,Hồ Chí Minh, Phường Long Thạnh Mỹ (Quận 9 cũ),36.23,69.0,2,2
Tây Bắc,Hợp đồng mua bán, N1,Hồ Chí Minh, Phường Sơn Kỳ,54.29,112.0,2,2
Bắc,Hợp đồng mua bán,Nguyễn Xiển,Hồ Chí Minh, Phường Long Thạnh Mỹ (Quận 9 cũ),63.62,53.2999,1,1
Đông Bắc,Sổ hồng riêng,Phố Tô Hiệu,Hà Nội, Phường Hà Cầu,50.37,135.0,3,2
Bắc,Sổ hồng riêng, Đường Lê Đức Thọ,Hà Nội, Phường Mai Dịch,39.77,88.0,2,2
Tây Bắc,Hợp đồng mua bán, N1,Hồ Chí Minh, Phường Sơn Kỳ,60.0,85.0,2,2
Bắc,Sổ hồng riêng,Đường Đào Trí,Hồ Chí Minh, Phường Phú Thuận,32.14,70.0,2,2
Tây Bắc,Đang chờ sổ, Nguyễn Văn Linh,Hồ Chí Minh, Xã Phong Phú,24.36,78.0,3,2
Tây Nam,Đang chờ sổ, Nguyễn Văn Linh,Hồ Chí Minh, Xã Phong Phú,26.4,50.0,2,2
Tây Bắc,Sổ hồng riêng,Đại Mỗ,Hà Nội, Phường Tây Mỗ,55.81,43.0,2,1
Nam,Sổ hồng riêng, Nguyễn Thị Định,Hồ Chí Minh, Phường Thạnh Mỹ Lợi (Quận 2 cũ),60.0,60.0,2,2
Bắc,Hợp đồng mua bán, Nguyễn Xí,Hồ Chí Minh, Phường 26,54.01,66.66,2,2
Tây Nam,Đang chờ sổ,Bồ Đề,Hà Nội, Phường Bồ Đề,50.0,82.0,3,2
Tây Nam,Hợp đồng mua bán,Huỳnh Văn Nghệ,Hà Nội, Phường Sài Đồng,43.62,94.0,3,2
