house_direction,property_legal_document,Đường,Tỉnh,Phường,price_per_m2,area,bedroom,toilet
Nam,Sổ hồng riêng, Tô Ký,Hồ Chí Minh, Phường Trung Mỹ Tây,39.29,56.0,2,2
Bắc,Sổ hồng riêng, Lê Đức Thọ,Hà Nội, Phường Mỹ Đình 1,5.21,48.0,3,3
Đông Nam,Đang chờ sổ,Long Thạnh Mỹ,Hồ Chí Minh, Phường Long Bình (Quận 9 cũ),50.0,98.0,2,2
Đông Nam,Sổ hồng riêng, TP HCM.,Hồ Chí Minh, Phường Long Thạnh Mỹ (Quận 9 cũ),41.86,43.0,1,1
Đông,Sổ hồng riêng, Đại lộ Thăng Long,Hà Nội, Xã An Khánh,41.13,62.0,2,2
Nam,Hợp đồng mua bán,15B,Hồ Chí Minh, Phường Phú Mỹ,23.33,75.0,2,2
Đông Nam,Sổ hồng riêng,Đại Mỗ,Hà Nội, Phường Tây Mỗ,55.35,43.0,1,1
Tây Nam,Sổ hồng riêng, Tống Văn Trân,Hồ Chí Minh, Phường 5,48.75,40.0,2,0
Đông,Đang chờ sổ, 336/20 Nguyễn Văn Luông,Hồ Chí Minh, Phường 11,53.85,65.0,2,2
Tây,Sổ hồng riêng,Đường Võ Chí Công,Hà Nội, Phường Phú Thượng,12.5,48.0,2,1
Tây,Sổ hồng riêng,xuân đỉnh,Hà Nội, Phường Xuân Đỉnh,12.0,50.0,2,1
Tây,Hợp đồng mua bán,Phố Minh Khai,Hà Nội, Phường Vĩnh Tuy,13.04,46.0,2,1
Tây,Sổ hồng riêng,Đường Giải Phóng,Hà Nội, Phường Đồng Tâm,10.91,55.0,2,1
Đông Nam,Sổ hồng riêng, Đường Nguyễn Văn Linh,Hồ Chí Minh, Xã An Phú Tây,22.77,50.5,2,2
Tây,Sổ hồng riêng,Võ Văn Kiệt,Hồ Chí Minh, Phường An Lạc,42.67,75.0,2,2
Đông Bắc,Sổ hồng riêng, Phan Văn Tri,Hồ Chí Minh, Phường 11,57.84,51.0,2,1
Đông Nam,Hợp đồng mua bán, N1,Hồ Chí Minh, Phường Sơn Kỳ,52.95,88.0,2,2
Tây Bắc,Hợp đồng mua bán, N1,Hồ Chí Minh, Phường Sơn Kỳ,54.29,112.0,2,2
Bắc,Hợp đồng mua bán,Nguyễn Xiển,Hồ Chí Minh, Phường Long Thạnh Mỹ (Quận 9 cũ),63.62,53.2999,1,1
Đông Bắc,Sổ hồng riêng,Phố Tô Hiệu,Hà Nội, Phường Hà Cầu,50.37,135.0,3,2
Bắc,Sổ hồng riêng, Đường Lê Đức Thọ,Hà Nội, Phường Mai Dịch,39.77,88.0,2,2
Tây Bắc,Hợp đồng mua bán, N1,Hồ Chí Minh, Phường Sơn Kỳ,60.0,85.0,2,2
Tây,Sổ hồng riêng,Phố Tạ Đông Trung,Hà Nội, Phường Định Công,39.55,71.0,2,1
Tây Bắc,Đang chờ sổ, Nguyễn Văn Linh,Hồ Chí Minh, Xã Phong Phú,24.36,78.0,3,2
Tây Nam,Đang chờ sổ, Nguyễn Văn Linh,Hồ Chí Minh, Xã Phong Phú,26.4,50.0,2,2
Nam,Sổ hồng riêng, Nguyễn Thị Định,Hồ Chí Minh, Phường Thạnh Mỹ Lợi (Quận 2 cũ),60.0,60.0,2,2
Bắc,Hợp đồng mua bán, Nguyễn Xí,Hồ Chí Minh, Phường 26,54.01,66.66,2,2
Tây Nam,Đang chờ sổ,Bồ Đề,Hà Nội, Phường Bồ Đề,50.0,82.0,3,2
Tây Nam,Hợp đồng mua bán,Huỳnh Văn Nghệ,Hà Nội, Phường Sài Đồng,43.62,94.0,3,2
Tây Nam,Sổ hồng riêng,Song Hành,Hồ Chí Minh, Phường Phú Hữu (Quận 9 cũ),48.6,67.9,2,2
Tây Nam,Sổ hồng riêng, Giang Biên,Hà Nội, Phường Giang Biên,40.41,73.0,2,2
Tây Bắc,Sổ hồng riêng,Trịnh Quang Nghị,Hồ Chí Minh, Xã Phong Phú,27.71,83.0,3,2
Tây Bắc,Sổ hồng riêng, Trịnh Đình Thảo,Hồ Chí Minh, Phường Hòa Thạnh,37.78,90.0,3,2
Đông Nam,Sổ hồng riêng,Thành Trung,Hà Nội, Thị trấn Trâu Quỳ,32.0,67.0,2,1
Đông Nam,Hợp đồng mua bán, Hồ Chí Minh,Hồ Chí Minh, Phường Tân Tạo,15.74,34.0,1,1
Nam,Đang chờ sổ, Trần Văn Kiểu,Hồ Chí Minh, Phường 10,47.95,65.69,2,2
Bắc,Hợp đồng mua bán,Bình Trưng Tây,Hồ Chí Minh, Phường Bình Trưng Tây (Quận 2 cũ),40.67,75.0,2,2
Nam,Hợp đồng mua bán, Tp.HCM,Hồ Chí Minh, Phường 4,39.5,60.0,2,2
Tây Nam,Hợp đồng mua bán, N1,Hồ Chí Minh, Phường Sơn Kỳ,52.77,141.0,3,2
Tây Bắc,Hợp đồng mua bán, N1,Hồ Chí Minh, Phường Sơn Kỳ,61.55,85.3,2,2
Bắc,Sổ hồng riêng, Phố Kim Ngưu,Hà Nội, Phường Thanh Lương,38.46,65.0,3,1
Tây Nam,Sổ hồng riêng,Đường Phan Văn Trị,Hồ Chí Minh, Phường 2,52.4,43.7,1,1
Đông,Đang chờ sổ, Bình Hưng Hòa B,Hồ Chí Minh, Phường Bình Hưng Hoà B,31.62,68.0,2,2
Tây Nam,Sổ hồng riêng,Tên Lửa,Hồ Chí Minh, Phường Bình Trị Đông B,30.95,63.0,2,1
Bắc,Đang chờ sổ,Cao Lỗ,Hồ Chí Minh, Phường 4,29.73,74.0,2,2
Tây Nam,Đang chờ sổ,Nguyễn Văn Linh,Hồ Chí Minh, Xã Bình Hưng,42.31,78.0,2,2
Đông Nam,Sổ hồng riêng,Nguyễn Xiển,Hồ Chí Minh, Phường Long Thạnh Mỹ (Quận 9 cũ),41.43,70.0,2,2
Nam,Hợp đồng mua bán,Long Thạnh Mỹ,Hồ Chí Minh, Phường Long Bình (Quận 9 cũ),46.67,75.0,2,2
Đông Nam,Đang chờ sổ,Đường Bát Nàn,Hồ Chí Minh, Phường Thạnh Mỹ Lợi (Quận 2 cũ),75.14,107.0,3,0
Tây Bắc,Đang chờ sổ,Đường Lương Định Của,Hồ Chí Minh, Phường An Khánh (Quận 2 cũ),72.86,70.0,2,2
Tây Nam,Sổ hồng riêng, Hồ Chí Minh,Hồ Chí Minh, Phường Bình Hưng Hoà B,32.31,65.0,2,1
Tây,Hợp đồng mua bán,Đường Mai Chí Thọ,Hồ Chí Minh, Phường An Phú (Quận 2 cũ),135.53,76.0,2,2
Bắc,Đang chờ sổ,Đường Lương Định Của,Hồ Chí Minh, Phường An Phú (Quận 2 cũ),39.51,81.0,2,2
Đông,Sổ hồng riêng, Bình Hưng Hòa B,Hồ Chí Minh, Phường Bình Hưng Hoà B,32.31,65.0,2,1
Tây Bắc,Sổ hồng riêng, Đường Hoàng Diệu,Hồ Chí Minh, Phường 6,37.76,143.0,3,2
Đông,Sổ hồng riêng,Đại Mỗ,Hà Nội, Phường Tây Mỗ,50.0,45.0,2,1
Đông Nam,Sổ hồng riêng,Tố Hữu,Hà Nội, Phường Trung Văn,47.21,98.5,3,0
Đông,Sổ hồng riêng, Ngõ 122 Vĩnh Tuy,Hà Nội, Phường Vĩnh Tuy,53.41,88.0,3,3
